item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Regular,FDD38,Canned,2018.0,OUT019,Tier 1,Small,Grocery Store,0.014343,12.6,103.7674,5.0
Regular,FDE41,Frozen Foods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.0,12.6,83.7566,5.0
Low Fat,FDP24,Baking Goods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.083004,20.6,119.4756,5.0
Low Fat,FDH38,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.010438,6.425,115.8808,5.0
Low Fat,FDT49,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.151406,7.0,107.728,5.0
Low Fat,FDN02,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.073828,16.5,208.8638,5.0
Low Fat,DRF27,Dairy,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.028417,8.93,154.534,5.0
Low Fat,FDT02,Dairy,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.024195,12.6,36.1874,5.0
Low Fat,FDF05,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.026871,17.5,264.491,5.0
Low Fat,FDI45,Fruits and Vegetables,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.037581,13.1,175.5054,5.0
Low Fat,FDZ20,Fruits and Vegetables,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.034307,16.1,252.3356,5.0
Low Fat,NCC42,Health and Hygiene,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.044908,15.0,140.2838,5.0
Low Fat,NCQ53,Health and Hygiene,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.018905,17.6,234.659,5.0
Low Fat,NCR54,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.090562,16.35,198.211,5.0
Low Fat,NCX06,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.015687,17.6,182.6976,5.0
Low Fat,NCO06,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.10803,19.25,32.4558,5.0
Low Fat,NCN54,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.021326,20.35,76.1328,5.0
Low Fat,FDL27,Meat,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.010631,6.17,65.9826,5.0
Low Fat,FDV51,Meat,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.032539,16.35,165.7842,5.0
Low Fat,FDC46,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.116542,17.7,182.6266,5.0
Low Fat,FDZ58,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.052177,17.85,122.8072,5.0
Low Fat,FDN21,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.076856,18.6,161.0236,5.0
Low Fat,FDO58,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.039577,19.6,166.1526,5.0
Low Fat,DRD24,Soft Drinks,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.030795,13.85,143.3154,5.0
Low Fat,DRI37,Soft Drinks,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.107598,15.85,58.7904,5.0
Regular,FDI12,Baking Goods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.100399,9.395,89.6856,5.0
Regular,FDP12,Baking Goods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.045267,9.8,36.9874,5.0
Regular,FDO01,Breakfast,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.020719,21.1,130.4994,5.0
Regular,FDZ37,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.019769,8.1,88.6198,5.0
Regular,FDJ15,Dairy,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.023322,11.35,182.5608,5.0
Regular,FDM04,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.047121,9.195,53.1666,5.0
Regular,FDI40,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.125603,11.5,100.8358,5.0
Regular,FDX04,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.041572,19.6,49.9376,5.0
Regular,FDS15,Meat,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.078061,9.195,106.3596,5.0
Regular,FDJ57,Seafood,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.021574,7.42,184.6582,5.0
Regular,FDG21,Seafood,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.1463,17.35,150.405,5.0
Regular,FDW21,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.005964,5.34,99.5358,5.0
Regular,FDX10,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.123711,6.385,37.1874,5.0
Low Fat,DRI51,Dairy,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.0,17.25,171.5764,5.0
Low Fat,NCZ17,Health and Hygiene,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.0,12.15,39.1506,5.0
Low Fat,DRE25,Soft Drinks,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.073698,15.35,91.912,5.0
Low Fat,FDT60,Baking Goods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.075702,12.0,124.6388,5.0
Low Fat,FDN24,Baking Goods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.113497,14.1,56.1956,5.0
Low Fat,FDO37,Breakfast,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.02142,8.06,232.0326,5.0
Low Fat,FDI14,Canned,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.08986,14.1,140.2496,5.0
Low Fat,FDW37,Canned,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.124302,19.2,89.7488,5.0
Low Fat,DRC27,Dairy,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.05822,13.8,247.4802,5.0
Low Fat,FDK16,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.115564,9.065,96.0094,5.0
Low Fat,FDK41,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.1278,14.3,83.6224,5.0
Low Fat,FDY31,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.043651,5.98,146.1418,5.0
Low Fat,FDT20,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.041479,10.5,36.8164,5.0
Low Fat,FDI45,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.037657,13.1,175.8054,5.0
Low Fat,FDG57,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.072445,14.7,48.6034,5.0
Low Fat,FDN32,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.015592,17.5,184.8266,5.0
Low Fat,FDX19,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.09693,19.1,233.8958,5.0
Low Fat,FDP20,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.045762,19.85,125.602,5.0
Low Fat,NCR17,Health and Hygiene,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.024433,9.8,116.4492,5.0
Low Fat,NCT17,Health and Hygiene,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.041951,10.8,190.0214,5.0
Low Fat,NCU05,Health and Hygiene,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.058855,11.8,79.1618,5.0
Low Fat,NCT42,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.024938,5.88,148.4392,5.0
Low Fat,NCV18,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.105459,6.775,84.625,5.0
Low Fat,NCH43,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.070712,8.42,216.4192,5.0
Low Fat,NCE18,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.021469,10.0,251.675,5.0
Low Fat,NCC18,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.17763,19.1,173.9422,5.0
Low Fat,NCJ42,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.01433,19.75,104.2332,5.0
Low Fat,FDQ10,Snack Foods,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.033247,12.85,172.4422,5.0
Low Fat,FDL34,Snack Foods,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.041029,16.0,142.6496,5.0
Low Fat,DRK37,Soft Drinks,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.0,5.0,189.853,5.0
Low Fat,DRF48,Soft Drinks,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.051907,5.73,188.1898,5.0
Low Fat,DRG49,Soft Drinks,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.067592,7.81,246.0486,5.0
Low Fat,FDX60,Baking Goods,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.08105,14.35,79.196,5.0
Low Fat,FDS13,Canned,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.12521,6.465,266.8884,5.0
Low Fat,FDC50,Canned,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.13727,15.85,94.4094,5.0
Low Fat,FDK51,Dairy,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.005265,19.85,264.5884,5.0
Low Fat,FDD17,Frozen Foods,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.032812,7.5,239.6906,5.0
Low Fat,FDJ28,Frozen Foods,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.021985,12.3,191.2162,5.0
Low Fat,FDP16,Frozen Foods,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.039517,18.6,243.6802,5.0
Low Fat,FDB20,Fruits and Vegetables,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.052275,7.72,79.1986,5.0
Low Fat,FDP56,Fruits and Vegetables,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.046747,8.185,49.9692,5.0
Low Fat,FDT43,Fruits and Vegetables,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.020664,16.35,50.8324,5.0
Low Fat,DRI59,Hard Drinks,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.041066,9.5,223.5088,5.0
Low Fat,DRN47,Hard Drinks,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.016922,12.1,178.366,5.0
Low Fat,DRM23,Hard Drinks,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.136501,16.6,173.3422,5.0
Low Fat,NCN53,Health and Hygiene,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.030527,5.175,33.5874,5.0
Low Fat,NCT53,Health and Hygiene,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.048388,5.4,163.0526,5.0
Low Fat,NCQ05,Health and Hygiene,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.0,11.395,149.2708,5.0
Low Fat,NCM53,Health and Hygiene,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.052335,18.75,108.128,5.0
Low Fat,NCX42,Household,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.006012,6.36,163.0526,5.0
Low Fat,NCT18,Household,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.059741,14.6,179.6976,5.0
Low Fat,NCI30,Household,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.059269,20.25,246.446,5.0
Low Fat,NCE54,Household,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.027052,20.7,73.9354,5.0
Low Fat,FDH19,Meat,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.033276,19.35,173.8738,5.0
Low Fat,FDT03,Meat,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.010055,21.25,183.1608,5.0
Low Fat,NCN19,Others,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.012168,13.1,190.253,5.0
Low Fat,NCQ43,Others,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.111931,17.75,108.8912,5.0
Low Fat,FDK09,Snack Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.092282,15.2,227.2352,5.0
Low Fat,FDV46,Snack Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.012679,18.2,139.818,5.0
Low Fat,FDY46,Snack Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.048161,18.6,188.9898,5.0
Regular,FDK26,Canned,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.032243,5.46,187.624,5.0
Regular,FDI50,Canned,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.030905,8.42,227.6352,5.0
Regular,FDB26,Canned,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.031331,14.0,52.364,5.0
Regular,FDY49,Canned,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.012036,17.2,165.7184,5.0
Regular,FDB04,Dairy,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.063355,11.35,88.9856,5.0
Regular,FDA02,Dairy,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.029783,14.0,146.3786,5.0
Regular,FDZ28,Frozen Foods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.051597,20.0,128.0678,5.0
Regular,FDE17,Frozen Foods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.054566,20.1,152.2366,5.0
Regular,FDQ19,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.014394,7.35,241.3512,5.0
